"id","tot_orders","avg_items","avg_price","tot_cat","first_pur","last_pur","slstyr","slslyr","sls2ago","slsbfr","ordtyr","ordlyr","ord2ago","ordbfr","cat99","pur_time_avg","activity","last_ord_wt","tot_price","tot_qty","logtarg","yhat","prob","estimate"
2062,16,10.0625,67.4129667277813,16,14166,16264,133.4385623923,458.7515354134,0,486.4173698388,22,76,0,63,1,131.125,0.991025035427492,828.3997173294,1078.6074676445,161,0,0.672483138167479,0.165210664272308,4.07045841217041
2232,40,2.25,36.3461274623225,15,13841,16141,13.8999958038,182.7999591814,112.8999691,1144.2451744077,2,12,13,63,0,57.5,0.941850941850942,560.8998374952,1453.8450984929,90,0,0.722828713285324,0.158748254179955,4.55330181121826
2623,5,3,28.83190917942,9,13905,15938,0,36.8999862667,29.8499908442,77.4095687862,0,4,3,8,0,406.6,0.854920100925147,2259.7497367995,144.1595458971,15,0,0.545749695393596,0.130206912755966,4.19140338897705
3000,13,1.69230769230769,19.8958301542846,7,13823,15903,0,18.849992752,0,239.7957992537,0,3,0,19,0,160,0.845528455284553,7162.99724576,258.6457920057,22,0,0.487299749614962,0.15489262342453,3.14604878425598
4693,9,2.11111111111111,13.0513237847333,10,13904,16000,0,16.3999938964,10.000862122,91.0610580442,0,5,1,13,0,232.888888888889,0.881042454812947,4641.1982726812,117.4619140626,19,0,0.419222832597228,0.130206912755966,3.21966648101807
5010,15,2.26666666666667,14.96039606716,10,14044,15131,0,0,0,224.4059410074,0,0,0,34,0,72.4666666666667,0.485484591335418,29332.6040034432,224.4059410074,34,0,0.356454055634678,0.12809045612812,2.78283071517944
5533,5,1.6,15.04731826772,3,13829,14663,0,0,0,75.2365913386,0,0,0,8,1,166.8,0.339853300733496,8282.928543156,75.2365913386,8,0,0.404290357878363,0.12809045612812,3.15628790855408
6130,8,2.75,26.57230138765,11,14269,16011,0,20.8499908446,54.5999832148,137.1284370418,0,4,6,12,0,217.75,0.864945382323734,5671.1975097312,212.5784111012,22,0,0.510566667935336,0.134263306856155,3.80272674560547
6653,35,2.2,20.2255439758,18,13893,16148,39.7999916076,89.5299739827,73.0499744408,505.5140991219,5,12,10,50,0,64.4285714285714,0.943514644351464,3503.249588007,707.894039153,77,0,0.595772278722187,0.169796600937843,3.50874090194702
6831,4,6.25,33.180152892875,10,15258,15957,0,72.9499816892,32.7999877928,26.9706420895,0,16,5,4,0,174.75,0.681951219512195,13936.4962691256,132.7206115715,25,0,0.491081353029529,0.137383580207825,3.57452726364136
7161,24,1.5,17.8641797699292,15,13827,16225,77.1499786366,82.4999732964,103.1506195059,165.9397430394,7,9,7,13,0,99.9166666666667,0.976384364820847,748.199645968,428.7403144783,36,0,0.414006680572122,0.171768561005592,2.41025876998901
