"id","tot_orders","avg_items","avg_price","tot_cat","first_pur","last_pur","slstyr","slslyr","sls2ago","slsbfr","ordtyr","ordlyr","ord2ago","ordbfr","cat99","pur_time_avg","activity","last_ord_wt","tot_price","tot_qty","logtarg","yhat","prob","estimate"
2062,16,10.0625,67.4129667277813,16,14166,16264,133.4385623923,458.7515354134,0,486.4173698388,22,76,0,63,1,131.125,0.991025035427492,828.3997173294,1078.6074676445,161,0,0.0762695874712769,0.0183600056916475,4.15411567687988
2232,40,2.25,36.3461274623225,15,13841,16141,13.8999958038,182.7999591814,112.8999691,1144.2451744077,2,12,13,63,0,57.5,0.941850941850942,560.8998374952,1453.8450984929,90,0,0.277112257742385,0.0861469656229019,3.21673846244812
2623,5,3,28.83190917942,9,13905,15938,0,36.8999862667,29.8499908442,77.4095687862,0,4,3,8,0,406.6,0.854920100925147,2259.7497367995,144.1595458971,15,0,0.0445735608811315,0.0123673491179943,3.60413217544556
3000,13,1.69230769230769,19.8958301542846,7,13823,15903,0,18.849992752,0,239.7957992537,0,3,0,19,0,160,0.845528455284553,7162.99724576,258.6457920057,22,0,0.220944659053416,0.0705512166023254,3.13169169425964
4693,9,2.11111111111111,13.0513237847333,10,13904,16000,0,16.3999938964,10.000862122,91.0610580442,0,5,1,13,0,232.888888888889,0.881042454812947,4641.1982726812,117.4619140626,19,0,0.0236668952443697,0.00705491751432419,3.35466647148132
5010,15,2.26666666666667,14.96039606716,10,14044,15131,0,0,0,224.4059410074,0,0,0,34,0,72.4666666666667,0.485484591335418,29332.6040034432,224.4059410074,34,0,0.0376421209753026,0.0116193005815148,3.23962020874023
5533,5,1.6,15.04731826772,3,13829,14663,0,0,0,75.2365913386,0,0,0,8,1,166.8,0.339853300733496,8282.928543156,75.2365913386,8,0,0.0232342394925977,0.0078240018337965,2.96961069107056
6130,8,2.75,26.57230138765,11,14269,16011,0,20.8499908446,54.5999832148,137.1284370418,0,4,6,12,0,217.75,0.864945382323734,5671.1975097312,212.5784111012,22,0,0.0761063935436934,0.0213837157934904,3.55908179283142
6653,35,2.2,20.2255439758,18,13893,16148,39.7999916076,89.5299739827,73.0499744408,505.5140991219,5,12,10,50,0,64.4285714285714,0.943514644351464,3503.249588007,707.894039153,77,0,0.0749789603731155,0.0224997010082006,3.33244252204895
6831,4,6.25,33.180152892875,10,15258,15957,0,72.9499816892,32.7999877928,26.9706420895,0,16,5,4,0,174.75,0.681951219512195,13936.4962691256,132.7206115715,25,0,0.057230586593497,0.0147675881162286,3.8754186630249
7161,24,1.5,17.8641797699292,15,13827,16225,77.1499786366,82.4999732964,103.1506195059,165.9397430394,7,9,7,13,0,99.9166666666667,0.976384364820847,748.199645968,428.7403144783,36,0,0.012548729943191,0.00526023842394352,2.38558197021484
7315,13,1.61538461538462,19.4723490199462,4,13935,15039,0,0,0,253.1405372593,0,0,0,21,0,84.9230769230769,0.470187393526405,28463.105712152,253.1405372593,21,0,0.0261876403772987,0.00975849572569132,2.68357348442078
7897,3,1.66666666666667,11.0439008075333,4,13904,14716,0,0,0,33.1317024226,0,0,0,5,1,270.666666666667,0.341319882303489,15983.825606602,33.1317024226,5,0,0.0268194783977092,0.00870602857321501,3.08056402206421
9270,6,2.83333333333333,20.01926708215,10,14164,15437,0,0,41.2999897,78.8156127929,0,0,6,11,1,212.166666666667,0.600755073147711,34939.7912862,120.1156024929,17,0,0.0672633108286753,0.019062228500843,3.52861738204956
9539,1,1,10.174705505,1,14065,14065,0,0,0,10.174705505,0,0,0,1,0,0,0,22567.49681009,10.174705505,1,0,0.0215328464778173,0.00801699422299862,2.68590021133423
11282,2,1.5,13.9710483548,2,14480,14865,0,0,0,27.9420967096,0,0,0,3,0,192.5,0.213533000554631,32444.279662244,27.9420967096,3,3.3621082306,0.201510053345821,0.0623669922351837,3.231036901474
12955,26,1.42307692307692,14.9248152511846,11,13855,16277,27.8499946592,62.6999816891,65.649978637,231.8452415455,2,6,8,21,0,93.1538461538462,0.997528830313015,47.3999862672,388.0451965308,37,0,0.0561056984400814,0.019845237955451,2.82716178894043
